movieName;Metascore_w;Author;AuthorHref;Date;Summary;InteractionsYesCount;InteractionsTotalCount;InteractionsThumbUp;InteractionsThumbDown;relative_increase;absolute_increase
the-impossible;10;csw12;/user/csw12;Jan  7, 2013;"[ ""The Impossible is one of the best films of 2012. Never has a movie been so depressing and at the same time so uplifting. Naomi watts does an incredible job, but Lucas, her son, is the star of the film. A movie that should be seen, remembered, and not forgotten."" ]";4.0;6.0;4.0;2.0;10.0;9
moneyball;10;csw12;/user/csw12;Feb 20, 2015;"[ ""Moneyball is tells the story of the A's perfectly through an outstanding screenplay and terrific scenes. What carries the film the most is the Brad Pitt's performance which happens to be the finest of his career. Moneyball didn't hit a homerun, it hit a grand slam."" ]";0.0;0.0;0.0;0.0;10.0;9
toy-story-3;10;csw12;/user/csw12;Mar 24, 2012;"[ ""The other 2 toy story's were great but this one takes the cake. Never has a film felt so real with its characters even though they were just toys  an achievement like no other for pixar. the ending is classic and will leave some in tears. one of the best pictures of the year"" ]";1.0;1.0;1.0;0.0;10.0;9
inception;10;csw12;/user/csw12;Mar 24, 2012;"[ ""Inception to put it simply is a masterpiece. the most intelligent movies in years. it is not your typical summmer movie with its stupid storytelling and clumsy actions scenes. Mr. Nolan has not failed on a film yet and this will continue the streak. The best film of the year."" ]";0.0;2.0;0.0;2.0;10.0;9
united-93;10;csw12;/user/csw12;Jun  7, 2013;"[ ""United 93 is filmmaking at its absolute finest. By giving every detail of the events that unfolded that day, Greengrass creates and intense atmosphere like you were right there along side. Brilliantly executed, thoroughly engrossing and chilling as it builds to its inevitable conclusion. United 93 will go down as one of the most intensely powerful films I have ever seen."" ]";0.0;0.0;0.0;0.0;10.0;9
the-40-year-old-virgin;10;csw12;/user/csw12;Mar 28, 2012;[];0.0;0.0;0.0;0.0;10.0;9
the-incredibles;10;csw12;/user/csw12;Mar 30, 2012;"[ ""Brillance cannot begin to describe this movie. Pixar has made its best movie since Toy Story. A wonderful story, with compelling charcters mixed with action scenes that are better than action films. Pixar has put out a true masterpiece with The Incredibles."" ]";8.0;8.0;8.0;0.0;10.0;9
king-kong;10;csw12;/user/csw12;Feb 14, 2013;"[ ""Peter Jackson has done it again. King Kong is majestic, beautifully executed and a stunning love story. The movie is  simple, but so effective,  just a tragic story that holds you emotionally and visually from beginning to end. King Kong proves that Jackson is one hell of a director."" ]";3.0;3.0;3.0;0.0;10.0;9
big-fish;10;csw12;/user/csw12;Dec 29, 2014;[];0.0;0.0;0.0;0.0;10.0;9
the-lord-of-the-rings-the-return-of-the-king;10;csw12;/user/csw12;Dec 22, 2012;"[ ""The miracle is that 'The Lord of the Rings: The Return of the King is better: tighter, smarter, funnier the previous 2 and that is saying a lot. Peter Jackson has created some of the greatest films ever made for the movie screen. Total perfection in every aspect it takes to make a movie. This is an astonishing achievement in movie making. An epic masterpiece of total perfection that will leave you amazed."" ]";5.0;6.0;5.0;1.0;10.0;9
the-lord-of-the-rings-the-two-towers;10;csw12;/user/csw12;Mar 26, 2012;[];5.0;5.0;5.0;0.0;10.0;9
the-lion-king;10;csw12;/user/csw12;Apr  2, 2012;[];1.0;2.0;1.0;1.0;10.0;9
the-pursuit-of-happyness;10;csw12;/user/csw12;Feb 13, 2013;[];0.0;0.0;0.0;0.0;10.0;9
the-lord-of-the-rings-the-fellowship-of-the-ring;10;csw12;/user/csw12;Mar 26, 2012;[];3.0;4.0;3.0;1.0;10.0;9
harry-potter-and-the-sorcerers-stone;10;csw12;/user/csw12;Mar 25, 2012;[];0.0;2.0;0.0;2.0;10.0;9
jurassic-park;10;csw12;/user/csw12;Sep  2, 2012;[];2.0;3.0;2.0;1.0;10.0;9
the-dark-knight;10;csw12;/user/csw12;Mar 25, 2012;"[ ""The Dark Knight is the best movie since Lord of The Rings. A dark and sophisticated movie (especially for batman) that had strong acting all around with a joker that was the craziest of all villians. A masterpiece like no other and no question the best movie of the year."" ]";0.0;1.0;0.0;1.0;10.0;9
rain-man;10;csw12;/user/csw12;Apr  2, 2012;[];0.0;0.0;0.0;0.0;10.0;9
saving-private-ryan;10;csw12;/user/csw12;Mar 30, 2012;"[ ""Saving Private Ryan is the best war movie ever made. The performances are oustanding right from the lead all the way down to the supporting cast. never has a war movie been made so realistly. It was breathtaking from the war scenes to the cinematography. Saving Private Ryan is a true accomplishment like no other."" ]";0.0;1.0;0.0;1.0;10.0;9
titanic;10;csw12;/user/csw12;May 28, 2015;"[ ""Titanic is a film that stretches the boundaries of movie making. James Cameron has created a monumental epic masterpiece on the grandest level. The story, acting, score, visuals and everything in between is done to perfection. A movie to experience, a movie for the ages."" ]";0.0;0.0;0.0;0.0;10.0;9
the-way-way-back;10;csw12;/user/csw12;Nov  9, 2013;[];0.0;0.0;0.0;0.0;10.0;9
the-dark-knight-rises;10;csw12;/user/csw12;Aug 14, 2012;[];1.0;3.0;1.0;2.0;10.0;9
gravity;10;csw12;/user/csw12;Jan 18, 2014;"[ ""Gravity is the best movie in years with its brilliant cinematography, terrific score and an ending that is one of a kind. No movie since Avatar has created astonishing visuals that transform a movie into a stunning work of art. Alonso Cuaron has created a cinematic masterpiece that sets a new standard in visual effects."" ]";1.0;5.0;1.0;4.0;10.0;9
interstellar;10;csw12;/user/csw12;Apr  5, 2015;"[ ""Interstellar might not be Nolan's best film but the sheer brilliance of what he made should not be underestimated. Known for his deep thinking and outside the box ideas, Interstellar might be the deepest one yet. Magnificent visuals coupled with a terrific score make for the best film of 2014."" ]";3.0;7.0;3.0;4.0;10.0;9
blood-diamond;10;JohnnyB.;;Dec 30, 2006;"[ ""Easily the best movie of 2006, it captivates the audience and gets their attention, but never releases it until the end. Blood Daimond was meaningful and excellently acted. I can't say enough of how great this movie is, and if you havent seen it yet, pay the money and see it!!!!"" ]";0.0;0.0;;;10.0;9
v-for-vendetta;10;KA;;Mar 19, 2006;[];0.0;0.0;;;10.0;9
cloverfield;10;KA;;Jan 19, 2008;[];0.0;1.0;;;10.0;9
the-hunger-games-mockingjay---part-1;10;Trev29;/user/Trev29;Dec 14, 2014;"[ ""Much like the book, it is a grimly dark turn in the story with fascinating character development and political awareness. The cast is once again phenomenal, and Francis Lawrence continues to excel in accurately capturing this world. The fact this is a Part 1 means less than nothing to me; I loved it."" ]";0.0;0.0;0.0;0.0;10.0;9
silver-linings-playbook;10;Trev29;/user/Trev29;Nov 30, 2013;[];0.0;0.0;0.0;0.0;10.0;9
the-hunger-games;10;Trev29;/user/Trev29;Apr  1, 2012;[];4.0;10.0;4.0;6.0;10.0;9
the-artist;10;Trev29;/user/Trev29;Jun 11, 2013;[];0.0;0.0;0.0;0.0;10.0;9
